erronea,corregida
unos amigos estaba sucios,unos amigos estaban sucios
esas chicas estaba sucios,esas chicas estaban sucios
tres gatos que me diste fue caros,tres gatos que me diste fueron caros
¿Insluso si estan enfermos?,¿Incluso si están enfermos?
Carl Wiyiams nos dio 150 de los grandes por el trabajo.,Carl Williams nos dió 150 de los grandes por el trabajo.
unas puertas tiene precio,unas puertas tienen precio
"O, no ez nada.","Oh, no es nada."
muchos zapatos que estaban ahí tiene dueño,muchos zapatos que estaban ahí tienen dueño
"¿Quién tiene acceso a nuestra tía, aparte de enfermeras?","¿Quién tiene acceso a nuestra tía, aparte de las enfermeras?"
tres libros es importantes,tres libros son importantes
Este extraordinario jovensito murio esta noshe a las 7: 35.,Este extraordinario jovencito murió esta noche a las 7: 35.
¿Cómo están los negocios de familia?,¿Cómo están los negocios de la familia?
"Eligio buen momento para unirsenos, teniente.","Eligió un buen momento para unírsenos, teniente."
dos ventanas que estaban ahí estaba listos,dos ventanas que estaban ahí estaban listos
"¿Cuantas novias tienes, son exastitud?","¿Cuántas novias tienes, con exactitud?"
Siento moleztarte pero ez importante.,Siento molestarte pero es importante.
10 minutos para despegue y sontando.,10 minutos para el despegue y contando.
las montañas que vimos ayer era buenos,las montañas que vimos ayer eran buenos
"Eso es lo ke dise, si.","Eso es lo que dice, sí."
ellas que había ahí era divertidos,ellas que había ahí eran divertidos
muchas ventanas del parque es muy útiles,muchas ventanas del parque son muy útiles
"Ven aki, mushasho.","Ven aquí, muchacho."
No zabía que fumaraz?,No sabía que fumaras?
estos juguetes que vi es de mi hermano,estos juguetes que vi son de mi hermano
varias casas de la casa fue azules,varias casas de la casa fueron azules
"Quisiera dar las grasias al ponente, Sr. Megahy, por su informe.","Quisiera dar las gracias al ponente, Sr. Megahy, por su informe."
¿No has ensontrado a nadie ke te lo surase?,¿No has encontrado a nadie que te lo curase?
21 6.2 Insompatibilidades,21 6.2 Incompatibilidades
¿Eztáz zeguro de que ez una buena idea?,¿Estás seguro de que es una buena idea?
Lo zé y lo entiendo.,Lo sé y lo entiendo.
muchos coches del parque tiene hambre,muchos coches del parque tienen hambre
"Se eztán zacrificando 12.000 ectáreaz de la mejor tierra agrícola de la izla"".","Se están sacrificando 12.000 hectáreas de la mejor tierra agrícola de la isla""."
- ¿Un predecezor del LSD?,- ¿Un predecesor del LSD?
¿Que siginifisa?,¿Qué siginifica?
- Esa no es la suestion.,- Esa no es la cuestión.
las vecinas que tenía fue pequeños,las vecinas que tenía fueron pequeños
Grasias amigos.,Gracias amigos.
No puedo sreer ke hayas disho eso.,No puedo creer que hayas dicho eso.
Cuentamos algo de tu vida y mundo a tu alrededor.,Cuéntamos algo de tu vida y el mundo a tu alrededor.
tres jugadores que estaban ahí fue geniales,tres jugadores que estaban ahí fueron geniales
muchos coches de mi tío estaba listos,muchos coches de mi tío estaban listos
varios niños fue míos,varios niños fueron míos
Nunsa he pagado $500 por soshe.,Nunca he pagado $500 por un coche.
Teze buzinezzez would not be allowed to exiztoterwize.,These businesses would not be allowed to existotherwise.
tres plantas del parque fue muy bonitos,tres plantas del parque fueron muy bonitos
dos vecinos del parque estaba sucios,dos vecinos del parque estaban sucios
dos casas que tenía es de mi hermano,dos casas que tenía son de mi hermano
unas historias estaba mojados,unas historias estaban mojados
Sé que no dan ezto en el curzo general de equibalenciaz.,Sé que no dan esto en el curso general de equivalencias.
Primero uztedez.,Primero ustedes.
"He vivido demasiado tiempo en la sorte, he visto demasiado esta noshe.","He vivido demasiado tiempo en la corte, he visto demasiado esta noche."
tejido nervioso y tejido linfático expuestos durante proceso de deshuesado;,tejido nervioso y tejido linfático expuestos durante el proceso de deshuesado;
¿Alguna manera de zaber dónde iban?,¿Alguna manera de saber dónde iban?
"Esta noshe, debo yamar a un amigo por un protagoniso en una serie.","Esta noche, debo llamar a un amigo por un protagónico en una serie."
Es ke destino sigue blokeando todas las salidas.,Es que el destino sigue bloqueando todas las salidas.
¡Somoz Zirkonian!,¡Somos Zirkonian!
*No ez inuzual*,*No es inusual*
esas montañas que vimos ayer era rápidos,esas montañas que vimos ayer eran rápidos
Me temo ke ahora vas a desapareser.,Me temo que ahora vas a desaparecer.
- Nos hemos comido.,- Nos las hemos comido.
estas montañas que estaban ahí es importantes,estas montañas que estaban ahí son importantes
"Te piden ke adelantes la hora del b sastigo, pero Ala no faltara a Su promesa.","Te piden que adelantes la hora del b castigo, pero Alá no faltará a Su promesa."
muchos niños que me diste fue pequeños,muchos niños que me diste fueron pequeños
ellos que llegaron estaba sucios,ellos que llegaron estaban sucios
Imaginario Britta tiene razon.,Imaginario Britta tiene razón.
"Ambas sosas poseia, pero la eposa paso y por sonsiguiente me essondo.","Ambas cosas poseía, pero la época pasó y por consiguiente me escondo."
Empezar una bida nueba.,Empezar una vida nueva.
"Anoshe, pedi por ti.","Anoche, pedí por ti."
las niñas del parque fue caros,las niñas del parque fueron caros
los profesores que vimos ayer era divertidos,los profesores que vimos ayer eran divertidos
- Es punto sin retorno.,- Es un punto sin retorno.
los pájaros que vimos ayer estaba listos,los pájaros que vimos ayer estaban listos
No ze zupone que lo agaz.,No se supone que lo hagas.
muchos regalos tiene nombre,muchos regalos tienen nombre
las camisas que compré fue míos,las camisas que compré fueron míos
"Donald, por fabor, abre loz ojoz.","Donald, por favor, abre los ojos."
unas canciones que encontramos tiene dueño,unas canciones que encontramos tienen dueño
"* ""Supuestos Burgueses"" han sido silensiados.","* Los ""Supuestos Burgueses"" han sido silenciados."
"- Buenaz nocez, querido.","- Buenas noches, querido."
unas ventanas que tenía tiene dueño,unas ventanas que tenía tienen dueño
- Se somo asaban estas sosas.,- Sé cómo acaban estas cosas.
Se preosupa por nosotros.,Se preocupa por nosotros.
Puede darse muerte subita tras ejersisio.,Puede darse muerte súbita tras ejercicio.
El pozo me kito la juventud,El pozo me quitó la juventud
estos hermanos tiene nombre,estos hermanos tienen nombre
tres regalos fue nuevos,tres regalos fueron nuevos
ellas que tenía tiene hambre,ellas que tenía tienen hambre
los hermanos que llegaron tiene dueño,los hermanos que llegaron tienen dueño
Vamoz a necezitar talento para ezto.,Vamos a necesitar talento para esto.
"Carlie, ¿me recibez?","Charlie, ¿me recibes?"
los juguetes que vi tiene nombre,los juguetes que vi tienen nombre
varias puertas que tenía fue azules,varias puertas que tenía fueron azules
muchos jugadores de mi tío fue azules,muchos jugadores de mi tío fueron azules
Trabajo largaz oraz.,Trabajo largas horas.
Y te an matado por ello.,Y te han matado por ello.
"Tamposo yo, si bien estoy de asuerdo son eyos.","Tampoco yo, si bien estoy de acuerdo con ellos."
"¿Intentaz ablar por otroz aparte de ti mizmo, McNulty?","¿Intentas hablar por otros aparte de ti mismo, McNulty?"
varios vecinos que encontramos fue caros,varios vecinos que encontramos fueron caros
"Tenga paciencia, pero juré que nunca máz ablaría con policía alguno.","Tenga paciencia, pero juré que nunca más hablaría con policía alguno."
Y eztamoz dizpueztoz a zaltar para defenderla.,Y estamos dispuestos a saltar para defenderla.
Ten musho suidado,Ten mucho cuidado
"LaLey-latradición, la coztumbre de la tierra.","LaLey-latradición, la costumbre de la tierra."
varios vecinos tiene dueño,varios vecinos tienen dueño
muchas historias es importantes,muchas historias son importantes
"No, yo no recibo leccionez... de un extranjero benido del norte.","No, yo no recibo lecciones... de un extranjero venido del norte."
Principalmente cocina franceza.,Principalmente cocina francesa.
dos niños que tenía es de madera,dos niños que tenía son de madera
las plantas que compré estaba mojados,las plantas que compré estaban mojados
Cuando se vende a una empresa: se trata de mantener su jefe / Assionistas feliz.,Cuando se vende a una empresa: se trata de mantener su jefe / Accionistas feliz.
dos coches que compré fue míos,dos coches que compré fueron míos
Será un ombre muy rico. Muy pujante.,Será un hombre muy rico. Muy pujante.
No te boy a dar ni un centabo.,No te voy a dar ni un centavo.
dos hermanos que tenía es importantes,dos hermanos que tenía son importantes
"Alerten, tenemoz múltiplez dizparoz...","Alerten, tenemos múltiples disparos..."
estos libros que vimos ayer es de mi hermano,estos libros que vimos ayer son de mi hermano
las chicas de la casa tiene dueño,las chicas de la casa tienen dueño
"Cuándo bi mi orden de arrezto,","Cuándo vi mi orden de arresto,"
Creo que hemos alcanzado vaso sanguíneo.,Creo que hemos alcanzado un vaso sanguíneo.
"Es la sangre ke nos une, amigo.","Es la sangre que nos une, amigo."
tres niñas que compré fue caros,tres niñas que compré fueron caros
las estrellas que vi estaba cerrados,las estrellas que vi estaban cerrados
varios árboles que compré tiene nombre,varios árboles que compré tienen nombre
"Abalone, baz a lograrlo.","Abalone, vas a lograrlo."
El Prefesto ha yamado 4 veses.,El Prefecto ha llamado 4 veces.
Dime otra vez por ke la solgamos aki habiendo una sesadora en la essotiya.,Dime otra vez por qué la colgamos aquí habiendo una secadora en la escotilla.
¡Mira esta shisa!,¡Mira esta chica!
Aunke nunsa pensamos perder no nos arrepentimos,Aunque nunca pensamos perder no nos arrepentimos
"Mucaz graciaz, zeñora Iibari.","Muchas gracias, señora Iivari."
dos chicos que había ahí estaba rotos,dos chicos que había ahí estaban rotos
estos chicos tiene dueño,estos chicos tienen dueño
dos mesas que vimos ayer estaba mojados,dos mesas que vimos ayer estaban mojados
tres plantas que compré tiene dueño,tres plantas que compré tienen dueño
¿Cuándo fue ezo?,¿Cuándo fue eso?
""" Que compra y quién bende zu cultibo.",""" Que compra y quién vende su cultivo."
Los ancianos pueden haber tenido experiencia de ser perdonado y perdonar.,Los ancianos pueden haber tenido la experiencia de ser perdonado y perdonar.
muchos zapatos del parque tiene nombre,muchos zapatos del parque tienen nombre
los hermanos que estaban ahí es importantes,los hermanos que estaban ahí son importantes
ellos que encontramos tiene dueño,ellos que encontramos tienen dueño
Te time now iz 18:36 .,The time now is 18:36 .
ellos que me diste fue muy grandes,ellos que me diste fueron muy grandes
Línea de bizión perfecta del banco.,Línea de visión perfecta del banco.
esos chicos del parque era enormes,esos chicos del parque eran enormes
esas camisas es muy útiles,esas camisas son muy útiles
Esto se hizo público y Asociación de Directores protestó.,Esto se hizo público y la Asociación de Directores protestó.
unos gatos de la casa fue azules,unos gatos de la casa fueron azules
estos zapatos del parque era antiguos,estos zapatos del parque eran antiguos
tres coches del parque tiene hambre,tres coches del parque tienen hambre
Mire lo ke ensontre.,Mire lo que encontré.
"Entendido, un momento, permanezca a la ezpera","Entendido, un momento, permanezca a la espera"
"Clark, sasi esta muerta.","Clark, casi está muerta."
unas nubes que llegaron tiene hambre,unas nubes que llegaron tienen hambre
¡Menudas mujeres he traido yo!,¡Menudas mujeres he traído yo!
unos juguetes que llegaron fue pequeños,unos juguetes que llegaron fueron pequeños
los autos que estaban ahí estaba rotos,los autos que estaban ahí estaban rotos
"Si me disculpa, ire a ver si Sr. Tuttle necesita ayuda.","Si me disculpa, ire a ver si el Sr. Tuttle necesita ayuda."
dos montañas que vimos ayer es importantes,dos montañas que vimos ayer son importantes
muchos perros que vi estaba sucios,muchos perros que vi estaban sucios
esos niños que me diste era rápidos,esos niños que me diste eran rápidos
Mi bocación ez zer militar.,Mi vocación es ser militar.
La gente se asusta mas suando esta muriendose.,La gente se asusta más cuando está muriéndose.
Avisenme suando tengan los resultados de tomografia.,Avísenme cuando tengan los resultados de la tomografía.
"- Lo hasen todos, Clayton.","- Lo hacen todos, Clayton."
¿No ay ninguna duda de validez del matrimonio?,¿No hay ninguna duda de la validez del matrimonio?
Cómo habla enfermera.,Cómo habla la enfermera.
Te va a disparar dos veces!,Te van a disparar dos veces!
- ¿Qué ez ezo? ¿Debilidad profezional?,- ¿Qué es eso? ¿Debilidad profesional?
Su mujer ze enteró.,Su mujer se enteró.
estos hermanos que compré es de mi hermano,estos hermanos que compré son de mi hermano
tres profesores que vi estaba listos,tres profesores que vi estaban listos
De berdad que admiro zu balor.,De verdad que admiro su valor.
En unos dias todo estara verde.,En unos días todo estará verde.
unas canciones que vi estaba sucios,unas canciones que vi estaban sucios
- Viviendo en el sofa de sus padres.,- Viviendo en el sofá de sus padres.
- Estasion Don.,- Estación Don.
dos plantas estaba sucios,dos plantas estaban sucios
Por fabor ingreze zu código poztal,Por favor ingrese su código postal
muchas niñas del parque es importantes,muchas niñas del parque son importantes
Tenias ese hermoso trasero...,Tenías ese hermoso trasero...
Pessado entero o evisserado son sabeza del1.1. 30.4.2006,Pescado entero o eviscerado con cabeza del1.1. al 30.4.2006
Forma likida: 5000 PPU/g,Forma líquida: 5000 PPU/g
Lizta de abrebiacionez,Lista de abreviaciones
El Jefe me dio zuz trajez antez de eztrenarloz.,El Jefe me dio sus trajes antes de estrenarlos.
Ezte ez zu décimo cumpleañoz.,Este es su décimo cumpleaños.
estas camisas que llegaron era divertidos,estas camisas que llegaron eran divertidos
¿De donde ha...?,¿De dónde ha...?
muchos niños que vi fue geniales,muchos niños que vi fueron geniales
Los serezos en flor ¿por ke atas tu sabayo al arbol?,Los cerezos en flor ¿por qué atas tu caballo al árbol?
unas sillas que vimos ayer fue míos,unas sillas que vimos ayer fueron míos
"¿Era amiga tuya, e?","¿Era amiga tuya, eh?"
¿No seria una soinsidensia ke te instalaran en mismo sampamento?,¿No sería una coincidencia que te instalaran en el mismo campamento?
Podríamos argumentar que nuestra película es obra de arte transformadora.,Podríamos argumentar que nuestra película es una obra de arte transformadora.
Grupo de ezfuerzo donante,Grupo de esfuerzo donante
juega los oficiales de justicia contra los defensores públicos.,Juegan los oficiales de justicia contra los defensores públicos.
Tengo mas bolsas en auto.,Tengo más bolsas en el auto.
Y vos estas lista.,Y vos estás lista.
"boluntariamente,","voluntariamente,"
"""Soy tu genio, soy tu amigo, tu servidor esslavo","""Soy tu genio, soy tu amigo, tu servidor esclavo"
ellos que compré estaba listos,ellos que compré estaban listos
varios chicos que encontramos estaba sucios,varios chicos que encontramos estaban sucios
unas casas que compré tiene hambre,unas casas que compré tienen hambre
estos cuadros del parque es importantes,estos cuadros del parque son importantes
dos amigas que compré es importantes,dos amigas que compré son importantes
Debo ir por las otras dos maletas pekeñas de sasa.,Debo ir por las otras dos maletas pequeñas de la casa.
varios coches estaba listos,varios coches estaban listos
Dentro de ese cadáver está los genes de su crecimiento orgánico.,Dentro de ese cadáver están los genes de su crecimiento orgánico.
unos regalos que vi estaba sucios,unos regalos que vi estaban sucios
No tiene aguinaldo ni bacacionez ni zeguro médico.,No tiene aguinaldo ni vacaciones ni seguro médico.
So maybe you zould azk zomeone elze.,So maybe you should ask someone else.
"- Algo se me osurrira. - Esta bien, perfesto.","- Algo se me ocurrirá. - Está bien, perfecto."
"Vamoz Debbie, azta a mí me eztáz deprimiendo, ¿M'kay?","Vamos Debbie, hasta a mí me estás deprimiendo, ¿M'kay?"
"El nombre no ez ""amigo"".","El nombre no es ""amigo""."
Nesesitamos ke venga son nosotros al sentro.,Necesitamos que venga con nosotros al centro.
Lunez 18 de zeptiembre de 2000,Lunes 18 de septiembre de 2000
¿Extrañaz a mi ermana?,¿Extrañas a mi hermana?
No ez fácil de uzar.,No es fácil de usar.
dos zapatos que me diste tiene hambre,dos zapatos que me diste tienen hambre
estos perros que estaban ahí es importantes,estos perros que estaban ahí son importantes
Y me ensantan sajas de embalaje.,Y me encantan las cajas de embalaje.
"Sabez, Rinaldo y yo encontraremoz otra coza que acer. ¿Hola?","Sabes, Rinaldo y yo encontraremos otra cosa que hacer. ¿Hola?"
tres juguetes que vi era rápidos,tres juguetes que vi eran rápidos
varios profesores de mi tío estaba sucios,varios profesores de mi tío estaban sucios
".. pero me ensanta este tatuaje , rosa en el hombro.",".. pero me encanta este tatuaje , rosa en el hombro."
Hace añoz que zoy curiozo.,Hace años que soy curioso.
"Espera, espera, espera, no se ke--","Espera, espera, espera, no sé qué--"
Tengo algo mas importante ke desirte.,Tengo algo más importante que decirte.
"Cuando zalga de aquí, eztáz acabado.","Cuando salga de aquí, estás acabado."
No bolberé a acerlo.,No volveré a hacerlo.
Autopiztaz (RTE-T),Autopistas (RTE-T)
unas nubes que me diste estaba sucios,unas nubes que me diste estaban sucios
las vecinas que vi fue caros,las vecinas que vi fueron caros
Nunsa terminaremos asi.,Nunca terminaremos así.
Aki pone 2000. ¿2000 es fesha?,Aquí pone 2000. ¿2000 es la fecha?
- ¡No puedo oirlos!,- ¡No puedo oírlos!
¿Cómo va las náuseas?,¿Cómo van las náuseas?
¿Que susedio son esas promesas? Esto es lo ke ay ke sonoser de Puerto Madero.,¿Qué sucedió con esas promesas? Esto es lo que hay que conocer de Puerto Madero.
Es inspirasion.,Es una inspiración.
"Bueno, me intereza. ¿Por qué no me cuentaz algo de tu día?","Bueno, me interesa. ¿Por qué no me cuentas algo de tu día?"
Corte mis ataduras sontigo hase mushos años.,Corte mis ataduras contigo hace muchos años.
"Nos sentimos honrados, damas y sabayeros.","Nos sentimos honrados, damas y caballeros."
dos coches que llegaron tiene nombre,dos coches que llegaron tienen nombre
Expedision Fesha:12/10/2011,Expedición Fecha:12/10/2011
ellas que llegaron fue pequeños,ellas que llegaron fueron pequeños
tres juguetes del parque tiene dueño,tres juguetes del parque tienen dueño
"Una hombre intenta defenderse sontra el peligro, y el otro intenta ensontrarlo.","Una hombre intenta defenderse contra el peligro, y el otro intenta encontrarlo."
Supongo ke... ¿Ves?,Supongo que... ¿Ves?
ellos que estaban ahí fue azules,ellos que estaban ahí fueron azules
estos chicos que vi tiene precio,estos chicos que vi tienen precio
"¿Puedez zentarte, por fabor?","¿Puedes sentarte, por favor?"
varios coches que estaban ahí estaba cerrados,varios coches que estaban ahí estaban cerrados
estas historias que había ahí es importantes,estas historias que había ahí son importantes
tres coches del parque estaba listos,tres coches del parque estaban listos
"Linda, por fabor, ?","Linda, por favor, ?"
tres niñas que me diste tiene precio,tres niñas que me diste tienen precio
Pero no zignifican nada.,Pero no significan nada.
El que falta es conductor.,El que falta es el conductor.
"¿Ez un problema, Ricard?","¿Es un problema, Richard?"
Podría acabar con el azeo y traerme delantalez limpioz para mí y... ben aquí.,Podría acabar con el aseo y traerme delantales limpios para mí y... ven aquí.
¿Que hay ke haser?,¿Qué hay que hacer?
esas flores que me diste estaba rotos,esas flores que me diste estaban rotos
muchos niños que compré estaba rotos,muchos niños que compré estaban rotos
"Resoge ropa, platos, agujas e hilos, ¡sosas asi!","Recoge ropa, platos, agujas e hilos, ¡cosas así!"
"Le desimos al pasiente tres meses, y vive un año. ¿Quien parese heroe?","Le decimos al paciente tres meses, y vive un año. ¿Quién parece héroe?"
¿Como me manipulara?,¿Cómo me manipulará?
"Ella es mayor. Yo soy la segunda. - Ahí está, entonces.","Ella es la mayor. Yo soy la segunda. - Ahí está, entonces."
Crear bida ez mejor para eztar bibo.,Crear vida es mejor para estar vivo.
"No, no. El hielo esta bien.","No, no. El hielo está bien."
- Un slub nosturno.,- Un club nocturno.
No vamos a ningun sitio malo.,No vamos a ningún sitio malo.
Ezte niño aún no zabe de Japón.,Este niño aún no sabe de Japón.
"Kenny, tengo que rebizar algo.","Kenny, tengo que revisar algo."
Lo seguire a essondidas.,Lo seguiré a escondidas.
muchas plantas del parque estaba listos,muchas plantas del parque estaban listos
Trabajan y lez pagan...,Trabajan y les pagan...
estos amigos de la casa estaba cerrados,estos amigos de la casa estaban cerrados
- ¿De qué eztáz ablando?,- ¿De qué estás hablando?
Pasaron café al aguardiente.,Pasaron del café al aguardiente.
dos estrellas de la casa estaba cerrados,dos estrellas de la casa estaban cerrados
"Además, proyecto cubría únicamente una parte de la región.","Además, el proyecto cubría únicamente una parte de la región."
Estoy preparando una sonfesion.,Estoy preparando una confesión.
Empecemos con codo.,Empecemos con el codo.
"¡Por haserte sentir sola, tanto tiempo!","¡Por hacerte sentir sola, tanto tiempo!"
esas historias que tenía era enormes,esas historias que tenía eran enormes
las sillas que tenía es de mi hermano,las sillas que tenía son de mi hermano
"En ezte momento, ay máz zerez umanoz biboz que en toda zu trizte iztoria.","En este momento, hay más seres humanos vivos que en toda su triste historia."
muchos amigos que compré estaba mojados,muchos amigos que compré estaban mojados
unas puertas era enormes,unas puertas eran enormes
¿Que tengo ke haser? ¿Llenarte de sarisias?,¿Qué tengo que hacer? ¿Llenarte de caricias?
- Eztoy zeguro... - ¡Bazta!,- Estoy seguro... - ¡Basta!
¿Quierez decir zangre?,¿Quieres decir sangre?
Las conclusiones confiarán luís al presidente de autoridad Portuario mirlo.,Las conclusiones confiarán luís al presidente de la autoridad Portuario mirlo.
Porke Rohit nos vio matar somisario.,Porque Rohit nos vio matar al comisario.
Estos glifos... estan sortados.,Estos glifos... están cortados.
dos jugadores que vimos ayer tiene nombre,dos jugadores que vimos ayer tienen nombre
Ez un idiota. Ezo ez todo.,Es un idiota. Eso es todo.
muchas plantas de mi tío es de mi hermano,muchas plantas de mi tío son de mi hermano
"Es dinosaurio, de costumbres callejeras y método desorganizado.","Es un dinosaurio, de costumbres callejeras y método desorganizado."
Nadaremos son delfines y beberemos shampaña de noshe.,Nadaremos con los delfines y beberemos champaña de noche.
"Esto probablemente sonará como una locura, pero son alérgicos a gente ebria.","Esto probablemente sonará como una locura, pero son alérgicos a la gente ebria."
"Directamente a trabéz de la puerta, enbuelbe la pared.","Directamente a través de la puerta, envuelve la pared."
Una beya parabola.,Una bella parábola.
- Eztoy guiándolo.,- Estoy guiándolo.
- ¡No ay nada!,- ¡No hay nada!
"Kristin... no era unisa yorando, entonses... ¿Que?","Kristin... no era la única llorando, entonces... ¿Qué?"
"Mira, todo ezto ze eztá bolbiendo un poco confuzo.","Mira, todo esto se está volviendo un poco confuso."
dos nubes que vimos ayer era buenos,dos nubes que vimos ayer eran buenos
De eso es lo ke se trata nuestro diseño.,De eso es lo que se trata nuestro diseño.
- Reescribir escena del caballo.,- Reescribir la escena del caballo.
"Bueno, hemos aprendido una cosa los chicos geniales lleva cigarrillos.","Bueno, hemos aprendido una cosa los chicos geniales llevan cigarrillos."
¿Dónde está tus padres?,¿Dónde están tus padres?
"El café molido, el día de colada, dormir azta tarde, bibir la bida...","El café molido, el día de colada, dormir hasta tarde, vivir la vida..."
las niñas que me diste estaba listos,las niñas que me diste estaban listos
"Sí, ¿por qué otra razón noz quedaríamoz zin mizionez?","Sí, ¿por qué otra razón nos quedaríamos sin misiones?"
estos amigos que encontramos fue nuevos,estos amigos que encontramos fueron nuevos
"Trabajamos juntos, pero soy jefe.","Trabajamos juntos, pero soy el jefe."
muchos juguetes que encontramos estaba sucios,muchos juguetes que encontramos estaban sucios
dos gatos era antiguos,dos gatos eran antiguos
"Tambien habia judios de slase alta, pero no me refiero a eyos.","También había judíos de clase alta, pero no me refiero a ellos."
"No, no tienes nada ke haser.","No, no tienes nada que hacer."
tres vecinos que estaban ahí estaba sucios,tres vecinos que estaban ahí estaban sucios
tres niños que vi fue míos,tres niños que vi fueron míos
esos profesores que vimos ayer estaba cerrados,esos profesores que vimos ayer estaban cerrados
Lo siento sariño.,Lo siento cariño.
esas mesas de mi tío fue míos,esas mesas de mi tío fueron míos
esos profesores que me diste estaba sucios,esos profesores que me diste estaban sucios
Asi ke solusionalo.,Así que soluciónalo.
varios cuadros que había ahí es importantes,varios cuadros que había ahí son importantes
varias niñas que encontramos es importantes,varias niñas que encontramos son importantes
estos jugadores estaba listos,estos jugadores estaban listos
varias plantas que tenía tiene nombre,varias plantas que tenía tienen nombre
las mesas que compré es importantes,las mesas que compré son importantes
estas niñas que vi tiene nombre,estas niñas que vi tienen nombre
"Ezto ez un timo, ¿berdad?","Esto es un timo, ¿verdad?"
No e pedido nada de ezto.,No he pedido nada de esto.
¿Deberia volver mas tarde?,¿Debería volver más tarde?
tres camisas que tenía tiene precio,tres camisas que tenía tienen precio
¡Cómo oz atrebeiz!,¡Cómo os atreveis!
¿Dónde está todas las cascadas y las lagunas con barcos hundidos?,¿Dónde están todas las cascadas y las lagunas con barcos hundidos?
Siempre ha sido un poso miope.,Siempre ha sido un poco miope.
"Penzar no ez tu fuerte, George.","Pensar no es tu fuerte, George."
Entoncez tendráz que acerlo tú.,Entonces tendrás que hacerlo tú.
- Lo hisiste genial.,- Lo hiciste genial.
esos niños que vimos ayer era rápidos,esos niños que vimos ayer eran rápidos
"Observaré sus gestos, le hurgaré herida...","Observaré sus gestos, le hurgaré la herida..."
"Pero creo que zí lez importa... lo que lez a eco, Refa.","Pero creo que sí les importa... lo que les ha hecho, Refa."
Aquí entramoz en el corazón del problema.,Aquí entramos en el corazón del problema.
"¡Fijate, esta rojo!","¡Fíjate, está rojo!"
- ¿Qué tiene que ver inundación con esto?,- ¿Qué tiene que ver la inundación con esto?
unas casas del parque es de mi hermano,unas casas del parque son de mi hermano
tres autos que vi es de mi hermano,tres autos que vi son de mi hermano
Un trozo de metal... algo de mi pierna... zácalo.,Un trozo de metal... algo de mi pierna... sácalo.
"¿Por qué uzted, y Cartney... y el rezto, tramaron un omicidio?","¿Por qué usted, y Cartney... y el resto, tramaron un homicidio?"
Destinos mas populares de Gresia,Destinos más populares de Grecia
"¡Bueno, tendra ke yegar poso tarde!","¡Bueno, tendrá que llegar un poco tarde!"
dos flores que vi es importantes,dos flores que vi son importantes
Tengo un pequeño negocio zecreto que dizcutir.,Tengo un pequeño negocio secreto que discutir.
- Voy a bomitar.,- Voy a vomitar.
Cómo baz a conzeguir una orden?,Cómo vas a conseguir una orden?
Mi amigo gordo J.J. dice que los dulces es las verduras de América.,Mi amigo gordo J.J. dice que los dulces son las verduras de América.
No tiene por ke serlo.,No tiene por qué serlo.
No me iré zin ti.,No me iré sin ti.
Deben haberse essondido de nirianos ayi.,Deben haberse escondido de los nirianos allí.
dos casas era antiguos,dos casas eran antiguos
"""Cuando no tienes sarbon en la estufa y te songelas en invierno","""Cuando no tienes carbón en la estufa y te congelas en invierno"
¡No podemoz zentarnoz!,¡No podemos sentarnos!
muchos vecinos del parque estaba sucios,muchos vecinos del parque estaban sucios
los autos de la casa fue muy grandes,los autos de la casa fueron muy grandes
"- Espera, ¿ke mierda dijo?","- Espera, ¿qué mierda dijo?"
* Abril de 2005: Es selessionada plataforma Debian.,* Abril de 2005: Es seleccionada la plataforma Debian.
"Z siudadano, esto es Addison Carver son la Operasion Bite Marsos.","Z ciudadano, esto es Addison Carver con la Operación Bite Marcos."
¿Qué paza con todoz loz bajitoz?,¿Qué pasa con todos los bajitos?
Eztá en... - ¿Qué? - Eztá...,Está en... - ¿Qué? - Está...
Se lo debolberé.,Se lo devolveré.
estas nubes es importantes,estas nubes son importantes
ellos que compré estaba cerrados,ellos que compré estaban cerrados
los pájaros que había ahí estaba cerrados,los pájaros que había ahí estaban cerrados
¿Por ke tiene ke aselerar?,¿Por qué tiene que acelerar?
"Lo ke kieres desir es ke Bokudoh es maximo slarividente, ¿verdad?","Lo que quieres decir es que Bokudoh es el máximo clarividente, ¿verdad?"
¿dice algo sobre esos gángsters?,¿Dicen algo sobre esos gángsters?
No te nesesito.,No te necesito.
ellas que estaban ahí fue nuevos,ellas que estaban ahí fueron nuevos
¡Un monton de biyetes falsos!,¡Un montón de billetes falsos!
varios zapatos estaba cerrados,varios zapatos estaban cerrados
dos historias que estaban ahí era antiguos,dos historias que estaban ahí eran antiguos
"- Si hases eso, te dare sualkier sosa ke nesesites.","- Si haces eso, te daré cualquier cosa que necesites."
"ENTONCES ¿POR QUÉ me dejazte ALIVE, ¿e?","ENTONCES ¿POR QUÉ me dejaste ALIVE, ¿eh?"
Sale en la pagina 244.,Sale en la página 244.
No. ¿Cual reunion?,No. ¿Cuál reunión?
zolo puede aber uno.,solo puede haber uno.
dos plantas que compré era enormes,dos plantas que compré eran enormes
varios gatos que encontramos era enormes,varios gatos que encontramos eran enormes
ellos que tenía era enormes,ellos que tenía eran enormes
varias camisas del parque fue azules,varias camisas del parque fueron azules
Ella pudo entrar sola si puerta no fue bloqueada.,Ella pudo entrar sola si la puerta no fue bloqueada.
